DensityX,Composition,Time s,Temperature °C,Shear Rate 1/s,Shear Stress Pa,Instantaneous Viscosity Pas,Strain  
1.74,20,79.01,25,785.9,35.42,0.04507,3.20E+04
1.74,20,81.01,25,805.7,36.41,0.04519,3.36E+04
1.74,20,83.01,25,825.5,36.63,0.04437,3.52E+04
1.74,20,85.01,25,845.3,36.19,0.04281,3.69E+04
1.74,20,87.01,25,865.2,36.42,0.0421,3.87E+04
1.74,20,89.01,25,885.5,36.58,0.04131,4.05E+04
1.74,20,91.01,25,905.3,36.61,0.04044,4.23E+04
1.74,20,93.01,25,925.1,36.26,0.03919,4.41E+04
1.74,20,95.01,25,944.9,35.97,0.03807,4.60E+04
1.74,20,97.01,25,964.8,36.2,0.03752,4.80E+04
1.74,20,99.01,25,985.1,36.48,0.03704,5.00E+04
1.74,20,101.1,25,985.7,34.63,0.03513,5.20E+04
1.74,20,103.1,25,966.4,33.87,0.03505,5.40E+04
1.74,20,105.1,25,946.5,33.77,0.03568,5.58E+04
1.74,20,107.1,25,926.2,33.89,0.03659,5.77E+04
1.74,20,109.1,25,906.4,33.86,0.03736,5.95E+04
1.74,20,111.1,25,886.5,33.33,0.0376,6.13E+04
1.74,20,113.1,25,866.3,33.17,0.03828,6.31E+04
1.74,20,115.1,25,846.9,33.09,0.03907,6.48E+04
1.74,20,117.1,25,827,32.4,0.03917,6.64E+04
1.74,20,119.1,25,806.8,32.4,0.04016,6.81E+04
1.74,20,121.1,25,786.9,32.61,0.04144,6.96E+04
1.74,20,123.1,25,767.2,32.72,0.04265,7.12E+04
1.74,20,125.1,25,746.8,32.19,0.04311,7.27E+04
1.74,20,127.1,25,727.5,32.6,0.04481,7.41E+04
1.74,20,129.1,25,707.2,32.17,0.04549,7.55E+04
1.74,20,131.1,25,687.4,31.67,0.04607,7.69E+04
1.74,20,133.1,25,667.5,31.8,0.04764,7.83E+04
1.74,20,135.1,25,647.7,31.16,0.04811,7.96E+04
1.74,20,137.1,25,627.3,31.43,0.0501,8.08E+04
1.74,20,139.1,25,608.1,30.71,0.0505,8.20E+04
1.74,20,141.1,25,587.7,30.77,0.05236,8.32E+04
1.74,20,143.1,25,567.9,31.04,0.05465,8.44E+04
1.74,20,145.1,25,548.1,30.15,0.05501,8.55E+04
1.74,20,147.1,25,528.3,29.15,0.05517,8.65E+04
1.74,20,149.1,25,508,29.29,0.05767,8.75E+04
1.74,20,151.1,25,488.6,28.87,0.05908,8.85E+04
1.74,20,153.1,25,468.3,27.98,0.05975,8.95E+04
1.74,20,155.1,25,448.5,28.24,0.06297,9.04E+04
1.74,20,157.1,25,428.7,28.54,0.06657,9.12E+04
1.74,20,159.1,25,408.9,27.37,0.06695,9.20E+04
1.74,20,161.1,25,388.6,23.9,0.06149,9.28E+04
1.74,20,163.1,25,368.7,27.22,0.07383,9.36E+04
1.74,20,165.1,25,348.9,26.22,0.07514,9.43E+04
1.74,20,167.1,25,328.6,25.79,0.07849,9.49E+04
1.74,20,169.1,25,309.3,22.76,0.07359,9.55E+04
1.74,20,171.1,25,289.5,17.71,0.06118,9.61E+04
1.74,20,173.1,25,269.2,16.28,0.06047,9.67E+04
1.74,20,175.1,25,249.3,16.88,0.06771,9.72E+04
1.74,20,177.1,25,229.5,16.61,0.07237,9.76E+04
1.74,20,179.1,25,209.2,15.58,0.07446,9.81E+04
1.74,20,181.1,25,189.9,15.23,0.08023,9.84E+04
1.74,20,183.1,25,170.1,15.42,0.0907,9.88E+04
1.74,20,185.1,25,149.7,14.99,0.1001,9.91E+04
1.74,20,187.1,25,129.9,14,0.1077,9.93E+04
1.74,20,189.1,25,110.1,13.86,0.1259,9.96E+04
1.74,20,191.1,25,89.78,13.26,0.1477,9.97E+04
1.74,20,193.1,25,70.46,11.38,0.1615,9.99E+04
1.74,20,195.1,25,50.64,11.96,0.2363,1.00E+05
1.74,20,197.1,25,30.32,9.206,0.3036,1.00E+05
1.74,20,199.1,25,10.5,4.177,0.3977,1.00E+05
1.74,20,1.004,25,9.527,165.4,17.36,19.07
1.74,20,3.008,25,29.25,111.5,3.812,77.72
1.74,20,5.008,25,49.06,89.82,1.831,177
1.74,20,7.007,25,68.89,90.89,1.319,315.3
1.74,20,9.007,25,88.73,91.55,1.032,494.9
1.74,20,11.01,25,108.5,74.29,0.6844,714.7
1.74,20,13.01,25,128.9,66.58,0.5167,975
1.74,20,15.01,25,148.7,66.91,0.4501,1273
1.74,20,17.01,25,168.5,58.72,0.3485,1613
1.74,20,19.01,25,188.3,59.05,0.3136,1991
1.74,20,21.01,25,208.6,52.48,0.2516,2411
1.74,20,23.01,25,228.4,49.45,0.2165,2869
1.74,20,25.01,25,248.3,43.86,0.1767,3370
1.74,20,27.01,25,268.1,40.96,0.1528,3911
